00:23 [AEU | 1: Alliance Communication] Eli Grey transmits, "How's it going?"

14:56 The sound of the engines slowly fades away as the starship stops moving.

14:56 You detect a faint rumbling as the starship begins to move through space.

14:56 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

14:56 The computer announces, "Coordinates are now occupied. Diverting course."

14:56 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector West.

14:56 The ship shudders slightly as its lasers are fired.

14:56 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:56 The sound of the engines slowly fades away as the starship stops moving.

14:56 You detect a faint rumbling as the starship begins to move through space.

14:56 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector North.

14:56 A loud klaxon sounds and red lights continue flashing.

14:56 The computer reports that the adapa "Fighter Upsilon Lambda Omicron" has a lock on this starship.

14:56 The sound of the engines slowly fades away as the starship stops moving.

14:56 You detect a faint rumbling as the starship begins to move through space.

14:56 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector Up.

14:56 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:56 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:56 Small clinks of metal come from the hull of the ship as it's being repaired.

14:56 The sound of the engines slowly fades away as the starship stops moving.

14:56 You detect a faint rumbling as the starship begins to move through space.

14:56 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

14:56 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector West and Up.

14:57 The computer reports that the adapa "Fighter Upsilon Lambda Omicron" has a lock on this starship.

14:57 The sound of the engines slowly fades away as the starship stops moving.

14:57 You detect a faint rumbling as the starship begins to move through space.

14:57 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector South and Up.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:57 The sound of the engines slowly fades away as the starship stops moving.

14:57 You detect a faint rumbling as the starship begins to move through space.

14:57 A loud klaxon sounds and red lights continue flashing.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

14:57 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector South.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

14:57 The sound of the engines slowly fades away as the starship stops moving.

14:57 You detect a faint rumbling as the starship begins to move through space.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

14:57 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector South and Down.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:57 The computer reports that the adapa "Fighter Upsilon Lambda Omicron" has a lock on this starship.

14:57 The sound of the engines slowly fades away as the starship stops moving.

14:57 There is a ship already occupying that location.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:57 You detect a faint rumbling as the starship begins to move through space.

14:57 The ship jerks sharply as its lasers are fired.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

14:57 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector West and Down.

14:57 The sound of the engines slowly fades away as the starship stops moving.

14:57 A loud klaxon sounds and red lights continue flashing.

14:57 The computer reports that the adapa "Fighter Upsilon Lambda Omicron" has a lock on this starship.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:57 You detect a faint rumbling as the starship begins to move through space.

14:57 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:57 Cadet Katie Celayla's voice comes over the loudspeaker and says, "Die already."

14:57 You feel a mild vibration as the ship's lasers are fired.

14:57 The ship's target tracking array reports that Outsider Thrall fighter "Fighter Upsilon Lambda Omicron" is now in range at Sector North.

14:57 The computer announces, "Target destroyed."

14:57 The ship's target tracking array reports that it has lost track of the adapa "Fighter Upsilon Lambda Omicron".
The computer reports that the adapa "Fighter Upsilon Lambda Omicron" has launched a rescue pod.
The computer reports that it has collected two of an interior panel, a part of a ship-to-ship chain, two of an unidentifiable starship component, and two of an intact hull plate from an exploding starship.

14:57 The sound of the engines slowly fades away as the starship stops moving.

14:57 You speak into the PA microphone, saying, "Yeah."

14:57 You detect a faint rumbling as the starship begins to move through space.

14:58 You wince as an extremely loud metallic bang emanates from outside the ship.

14:58 Cadet Katie Celayla's voice comes over the loudspeaker and says, "Thank you!"

14:58 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

14:58 The sound of the engines slowly fades away as the starship stops moving.

14:58 You detect a faint rumbling as the starship begins to move through space.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:58 Jade Burkley's voice comes over the loudspeaker as she giggles

14:58 A loud klaxon sounds and red lights continue flashing.

14:58 The sound of the engines slowly fades away as the starship stops moving.

14:58 You speak into the PA microphone, saying, "Not sure it can say you're welcome though."

14:58 You detect a faint rumbling as the starship begins to move through space.

14:58 The ship jerks suddenly as a loud clang is heard, followed by an unsettling rattling noise against the hull.

14:58 The computer announces, "This starship has been chained by Outsider Thrall starship 'Corvette Epsilon Gamma Zeta.'"

14:58 Starships In Sector:

14:58 
Corvette Mu Zzormiy.....................(10, 9, 4)
Corvette Epsilon Gamma Zeta.............(13, 10, 5)
Corvette Chi Zzormr.....................(9, 9, 6)
Fighter Pi Rho Psi......................(9, 10, 7)
Corvette Rho Zzorms.....................(8, 11, 4)

14:58 You wince as an extremely loud metallic bang emanates from outside the ship.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:58 The sound of the engines slowly fades away as the starship stops moving.

14:58 You detect a faint rumbling as the starship begins to move through space.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

14:58 Select target:

14:58 
[1] Corvette Epsilon Gamma Zeta (Outsider Thrall)
[2] Corvette Chi Zzormr (Outsider)
[3] Corvette Mu Zzormiy (Outsider)

Enter your selection:

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:58 The ship's target tracking array reports that it is now tracking the centurio-class light assault corvette "Corvette Chi Zzormr".

14:58 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Northwest and Up.

14:58 The sound of the engines slowly fades away as the starship stops moving.

14:58 There is some debris or an asteroid at that location.

14:58 A chain attached to the starship prevents it from moving in that direction.

14:58 There is a ship already occupying that location.

14:58 You detect a faint rumbling as the starship begins to move through space.

14:58 The hull creaks with too-rapid temperature changes as laser fire plays upon it.
The computer announces, "This ship has been hit by Outsider starship 'Corvette Chi Zzormr.' It was a glancing hit."

14:58 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

14:58 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Up.

14:58 You suddenly stab your finger against a large button.

14:58 The computer says, "The pilot has signalled that incoming weapon fire is imminent. Please brace yourself."

14:58 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West and Up.

14:58 A loud klaxon sounds and red lights continue flashing.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:58 The sound of the engines slowly fades away as the starship stops moving.

14:58 You detect a faint rumbling as the starship begins to move through space.

14:58 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

14:58 The ship shudders slightly as its lasers are fired.

14:58 You hear a loud bang above you somewhere as ship systems are repaired outside.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:58 The sound of the engines slowly fades away as the starship stops moving.

14:58 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:58 There is some debris or an asteroid at that location.

14:58 You detect a faint rumbling as the starship begins to move through space.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 A chain attached to the starship prevents it from moving in that direction.

14:59 A chain attached to the starship prevents it from moving in that direction.

14:59 You detect a faint rumbling as the starship begins to move through space.

14:59 You feel a mild vibration as the ship's lasers are fired.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

14:59 You quickly punch in an emergency engine boost.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Southwest and Up.

14:59 A loud klaxon sounds and red lights continue flashing.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 You hear a loud rumbling as the ship's engines move using emergency boost power.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.

14:59 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Southwest.

14:59 The starship is already moving.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 You hear a loud rumbling as the ship's engines move using emergency boost power.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 You hear a loud rumbling as the ship's engines move using emergency boost power.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The starship is already moving.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 The ship shudders slightly as its lasers are fired.

14:59 You detect a faint rumbling as the starship begins to move through space.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Northwest.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

14:59 A loud klaxon sounds and red lights continue flashing.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 You detect a faint rumbling as the starship begins to move through space.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Up.

14:59 The ship shudders slightly as its lasers are fired.

14:59 You hear a loud bang above you somewhere as ship systems are repaired outside.

14:59 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

14:59 The sound of the engines slowly fades away as the starship stops moving.

14:59 You detect a faint rumbling as the starship begins to move through space.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Up.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector East and Up.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.
The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North.

15:00 A loud klaxon sounds and red lights continue flashing.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Down.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Down.

15:00 The ship jerks sharply as its lasers are fired.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Up.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:00 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 There is some debris or an asteroid at that location.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Up.

15:00 A loud klaxon sounds and red lights continue flashing.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:00 Small clinks of metal come from the hull of the ship as it's being repaired.

15:00 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.

15:00 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West and Up.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:00 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:00 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.

15:00 The sound of the engines slowly fades away as the starship stops moving.

15:00 You detect a faint rumbling as the starship begins to move through space.

15:01 The ship jerks sharply as its lasers are fired.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

15:01 You speak into the PA microphone, saying, "Wow! Lots of locks!"

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 You detect a faint rumbling as the starship begins to move through space.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:01 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.
Jade Burkley's voice comes over the loudspeaker and says, "They love you apparently."

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 You detect a faint rumbling as the starship begins to move through space.

15:01 Small clinks of metal come from the hull of the ship as it's being repaired.

15:01 A loud klaxon sounds and red lights continue flashing.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Up.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Northwest and Up.
The ship shudders slightly as its lasers are fired.

15:01 The starship is already moving.

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 You detect a faint rumbling as the starship begins to move through space.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

15:01 You speak into the PA microphone, saying, "Apparently."

15:01 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Up.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 You detect a faint rumbling as the starship begins to move through space.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector East and Up.

15:01 You speak into the PA microphone, saying, "Or really want me dead."

15:01 Small clinks of metal come from the hull of the ship as it's being repaired.

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 You detect a faint rumbling as the starship begins to move through space.

15:01 Cadet Katie Celayla's voice comes over the loudspeaker and says, "Same thing."

15:01 A loud klaxon sounds and red lights continue flashing.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector East.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:01 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 You detect a faint rumbling as the starship begins to move through space.

15:01 You speak into the PA microphone, saying, "True."

15:01 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Northwest.

15:01 The sound of the engines slowly fades away as the starship stops moving.

15:01 There is a ship already occupying that location.

15:02 The computer reports that the enkidu "Corvette Epsilon Gamma Zeta" has a lock on this starship.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:02 Jade Burkley's voice comes over the loudspeaker and says, "Hopefully they won't get their wish."

15:02 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Down.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:02 You speak into the PA microphone, saying, "They wont'"

15:02 The sound of the engines slowly fades away as the starship stops moving.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:02 A loud klaxon sounds and red lights continue flashing.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Down.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:02 The sound of the engines slowly fades away as the starship stops moving.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:02 You hear a loud bang above you somewhere as ship systems are repaired outside.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:02 The sound of the engines slowly fades away as the starship stops moving.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:02 The ship jerks sharply as its lasers are fired.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Up.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:02 The sound of the engines slowly fades away as the starship stops moving.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Up.

15:02 A loud klaxon sounds and red lights continue flashing.

15:02 The sound of the engines slowly fades away as the starship stops moving.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:02 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:02 You feel a mild vibration as the ship's lasers are fired.

15:02 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West and Up.

15:02 The sound of the engines slowly fades away as the starship stops moving.

15:02 You detect a faint rumbling as the starship begins to move through space.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" is in range of firing on or docking with this ship.

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:03 The sound of the engines slowly fades away as the starship stops moving.

15:03 You detect a faint rumbling as the starship begins to move through space.

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector Up.

15:03 The sound of the engines slowly fades away as the starship stops moving.

15:03 A loud klaxon sounds and red lights continue flashing.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:03 You detect a faint rumbling as the starship begins to move through space.

15:03 You feel a mild vibration as the ship's lasers are fired.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" is in range of firing on or docking with this ship.

15:03 The computer announces, "The gunner has temporarily reduced the enemy's weapon effectiveness."

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector South and Up.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:03 The sound of the engines slowly fades away as the starship stops moving.

15:03 A chain attached to the starship prevents it from moving in that direction.

15:03 You detect a faint rumbling as the starship begins to move through space.

15:03 You hear a loud bang above you somewhere as ship systems are repaired outside.

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector West and Up.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:03 The sound of the engines slowly fades away as the starship stops moving.

15:03 You detect a faint rumbling as the starship begins to move through space.

15:03 You feel a mild vibration as the ship's lasers are fired.

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Up.

15:03 The sound of the engines slowly fades away as the starship stops moving.

15:03 A loud klaxon sounds and red lights continue flashing.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:03 You detect a faint rumbling as the starship begins to move through space.

15:03 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" is in range of firing on or docking with this ship.

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector East.
The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:03 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector East and Down.

15:03 You hear a sharp clank from the hull somewhere near you.

15:03 The sound of the engines slowly fades away as the starship stops moving.

15:03 You feel a mild vibration as the ship's lasers are fired.

15:03 There is a ship already occupying that location.

15:03 You detect a faint rumbling as the starship begins to move through space.

15:04 The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:04 The ship's target tracking array reports that Outsider corvette "Corvette Chi Zzormr" is now in range at Sector North and Down.

15:04 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.

15:04 The computer reports that the centurio-class light assault corvette "Corvette Rho Zzorms" has a lock on this starship.

15:04 The computer reports that the centurio-class light assault corvette "Corvette Mu Zzormiy" has a lock on this starship.
The computer reports that the centurio-class light assault corvette "Corvette Chi Zzormr" has a lock on this starship.

15:04 The sound of the engines slowly fades away as the starship stops moving.

15:04 You detect a faint rumbling as the starship begins to move through space.

